"filename", "language", "Markdown", "JSON with Comments", "TypeScript", "vue", "JSON", "SCSS", "HTML", "JavaScript", "YAML", "comment", "blank", "total"
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\update-script.ts", "TypeScript", 0, 0, 86, 0, 0, 0, 0, 0, 0, 33, 16, 135
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\utils.ts", "TypeScript", 0, 0, 57, 0, 0, 0, 0, 0, 0, 16, 16, 89
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\utils\pathfinder.ts", "TypeScript", 0, 0, 70, 0, 0, 0, 0, 0, 0, 26, 20, 116
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\variables.ts", "TypeScript", 0, 0, 275, 0, 0, 0, 0, 0, 0, 118, 56, 449
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\version.ts", "TypeScript", 0, 0, 66, 0, 0, 0, 0, 0, 0, 16, 12, 94
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\world-initializer.ts", "TypeScript", 0, 0, 186, 0, 0, 0, 0, 0, 0, 22, 20, 228
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\genesisMessages.ts", "TypeScript", 0, 0, 412, 0, 0, 0, 0, 0, 0, 8, 100, 520
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\pokedex-data.json", "JSON", 0, 0, 0, 0, 338, 0, 0, 0, 0, 0, 1, 339
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\pokedex-data.ts", "TypeScript", 0, 0, 476, 0, 0, 0, 0, 0, 0, 0, 2, 478
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\prompts\achievement.ts", "TypeScript", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 4, 60
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\prompts\barter.ts", "TypeScript", 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 8, 134
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\prompts\base.ts", "TypeScript", 0, 0, 687, 0, 0, 0, 0, 0, 0, 0, 55, 742
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\prompts\index.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 17
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\prompts\none.ts", "TypeScript", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 4, 63
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\prompts\quest.ts", "TypeScript", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 7, 79
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\prompts\signIn.ts", "TypeScript", 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 8, 125
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\prompts\skillPanel.ts", "TypeScript", 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 16, 127
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\ranks-data.ts", "TypeScript", 0, 0, 59, 0, 0, 0, 0, 0, 0, 49, 8, 116
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\shelter-data.ts", "TypeScript", 0, 0, 101, 0, 0, 0, 0, 0, 0, 5, 4, 110
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\time-data.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 19, 7, 57
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\worldview-data.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 31, 8, 66
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\worldview-presets-data.ts", "TypeScript", 0, 0, 206, 0, 0, 0, 0, 0, 0, 0, 6, 212
