"filename", "language", "Markdown", "JSON with Comments", "TypeScript", "YAML", "JSON", "SCSS", "HTML", "JavaScript", "vue", "comment", "blank", "total"
"k:\AiChat\tavern_helper_template\src\update-script.ts", "TypeScript", 0, 0, 86, 0, 0, 0, 0, 0, 0, 33, 16, 135
"k:\AiChat\tavern_helper_template\src\什么我要在玄van修仙世界种田-0楼版本\ui\sidePanel.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 1, 5
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修-0楼版本\ui\modals\settings.ts", "TypeScript", 0, 0, 112, 0, 0, 0, 0, 0, 0, 25, 20, 157
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\App.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 90, 10, 21, 121
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\Test.json", "JSON", 0, 0, 0, 0, 650, 0, 0, 0, 0, 5, 62, 717
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\Test.yaml", "YAML", 0, 0, 0, 5102, 0, 0, 0, 0, 0, 0, 510, 5612
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\MainMenu.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 152, 5, 16, 173
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\TopBar.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 103, 2, 19, 124
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\action\ActionPanel.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 140, 4, 12, 156
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\debug\DebugModal.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 160, 2, 20, 182
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\debug\EventInjector.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 102, 0, 14, 116
